|Indent|Reference|Text|Document|Page|Heading|full_reference|word_count|chapter_no|chapter_heading|part_no|part_heading|condition_no|condition_heading
26|2|(b)|"""Processing limitation"", as referred to in sections 9 to 12;"|||False|4.(1)(b)|10|2|APPLICATION PROVISIONS||||
27|2|(c)|"""Purpose specification"", as referred to in sections 13 and 14;"|||False|4.(1)(c)|10|2|APPLICATION PROVISIONS||||
28|2|(d)|"""Further processing limitation"", as referred to in section 15;"|||False|4.(1)(d)|9|2|APPLICATION PROVISIONS||||
29|2|(e)|"""Information quality"", as referred to in section 16;"|||False|4.(1)(e)|8|2|APPLICATION PROVISIONS||||
30|2|(f)|"""Openness"", as referred to in sections 17 and 18;"|||False|4.(1)(f)|9|2|APPLICATION PROVISIONS||||
31|2|(g)|"""Security safeguards"", as referred to in sections 19 to 22; and"|||False|4.(1)(g)|11|2|APPLICATION PROVISIONS||||
32|2|(h)|"""Data subject participation"", as referred to in sections 23 to 25."|||False|4.(1)(h)|11|2|APPLICATION PROVISIONS||||
33|1|(2)|The conditions, as referred to in subsection (1), are not applicable to the processing of personal information to the extent that such processing is—|||False|4.(2)|24|2|APPLICATION PROVISIONS||||
34|2|(a)|excluded, in terms of section 6 or 7, from the operation of this Act; or|||False|4.(2)(a)|15|2|APPLICATION PROVISIONS||||
35|2|(b)|exempted in terms of section 37 or 38, from one or more of the conditions concerned in relation to such processing.|||False|4.(2)(b)|21|2|APPLICATION PROVISIONS||||
36|1|(3)|The processing of the special personal information of a data subject is prohibited in terms of section 26, unless the—|||False|4.(3)|20|2|APPLICATION PROVISIONS||||
37|2|(a)|provisions of sections 27 to 33 are applicable; or|||False|4.(3)(a)|9|2|APPLICATION PROVISIONS||||
38|2|(b)|Regulator has granted an authorisation in terms of section 27(2), in which case, subject to section 37 or 38, the conditions for the lawful processing of personal information as referred to in Chapter 3 must be complied with.|||False|4.(3)(b)|38|2|APPLICATION PROVISIONS||||
39|1|(4)|The processing of the personal information of a child is prohibited in terms of section 34, unless the—|||False|4.(4)|18|2|APPLICATION PROVISIONS||||
40|2|(a)|provisions of section 35(1) are applicable; or|||False|4.(4)(a)|7|2|APPLICATION PROVISIONS||||
41|2|(b)|Regulator has granted an authorisation in terms of section 35(2), in which case, subject to section 37, the conditions for the lawful processing of personal information as referred to in Chapter 3 must be complied with.|||False|4.(4)(b)|36|2|APPLICATION PROVISIONS||||
42|1|(5)|The processing of the special personal information of a child is prohibited in terms of sections 26 and 34 unless the provisions of sections 27 and 35 are applicable in whichcase, subject to section 37, the conditions for the lawful processing of personal information as referred to in Chapter 3 must be complied with.|||False|4.(5)|54|2|APPLICATION PROVISIONS||||
43|1|(6)|The conditions for the lawful processing of personal information by or for a responsible party for the purpose of direct marketing by any means are reflected in Chapter 3, read with section 69 insofar as that section relates to direct marketing by means of unsolicited electronic communications.|||False|4.(6)|47|2|APPLICATION PROVISIONS||||
44|1|(7)|Sections 60 to 68 provide for the development, in appropriate circumstances, of codes of conduct for purposes of clarifying how the conditions referred to in subsection (1), subject to any exemptions which may have been granted in terms of section 37, are to be applied, or are to be complied with within a particular sector.|||False|4.(7)|55|2|APPLICATION PROVISIONS||||
45|0|5.|Rights of data subjects|||True|5.|4|2|APPLICATION PROVISIONS||||
46|0||A data subject has the right to have his, her or its personal information processed in accordance with the conditions for the lawful processing of personal information as referred to in Chapter 3, including the right—|||False|5.|36|2|APPLICATION PROVISIONS||||
47|2|(a)|to be notified that—|||False|5.(a)|4|2|APPLICATION PROVISIONS||||
48|3|(i)|personal information about him, her or it is being collected as provided for in terms of section 18; or|||False|5.(a)(i)|19|2|APPLICATION PROVISIONS||||
49|3|(ii)|his, her or its personal information has been accessed or acquired by an unauthorised person as provided for in terms of section 22;|||False|5.(a)(ii)|23|2|APPLICATION PROVISIONS||||
50|2|(b)|to establish whether a responsible party holds personal information of that data subject and to request access to his, her or its personal information as provided for in terms of section 23;|||False|5.(b)|32|2|APPLICATION PROVISIONS||||
51|2|(c)|to request, where necessary, the correction, destruction or deletion of his, her or its personal information as provided for in terms of section 24;|||False|5.(c)|24|2|APPLICATION PROVISIONS||||
52|2|(d)|to object, on reasonable grounds relating to his, her or its particular situation to the processing of his, her or its personal information as provided for in terms of section 11(3)(a);|||False|5.(d)|31|2|APPLICATION PROVISIONS||||
53|2|(e)|to object to the processing of his, her or its personal information—|||False|5.(e)|12|2|APPLICATION PROVISIONS||||
54|3|(i)|at any time for purposes of direct marketing in terms of section 11(3)(b); or|||False|5.(e)(i)|14|2|APPLICATION PROVISIONS||||
55|3|(ii)|in terms of section 69(3)(c);|||False|5.(e)(ii)|5|2|APPLICATION PROVISIONS||||
56|2|(f)|not to have his, her or its personal information processed for purposes of direct marketing by means of unsolicited electronic communications except as referred to in section 69(1);|||False|5.(f)|28|2|APPLICATION PROVISIONS||||
57|2|(g)|not to be subject, under certain circumstances, to a decision which is based solely on the basis of the automated processing of his, her or its personal information intended to provide a profile of such person as provided for in terms of section 71;|||False|5.(g)|44|2|APPLICATION PROVISIONS||||
58|2|(h)|to submit a complaint to the Regulator regarding the alleged interference with the protection of the personal information of any data subject or to submit a complaint to the Regulator in respect of a determination of an adjudicator as provided for in terms of section 74; and|||False|5.(h)|47|2|APPLICATION PROVISIONS||||
59|2|(i)|to institute civil proceedings regarding the alleged interference with the protection of his, her or its personal information as provided for in section 99.|||False|5.(i)|24|2|APPLICATION PROVISIONS||||
60|0|6.|Exclusions|||True|6.|1|2|APPLICATION PROVISIONS||||
61|1|(1)|This Act does not apply to the processing of personal information—|||False|6.(1)|11|2|APPLICATION PROVISIONS||||
62|2|(a)|in the course of a purely personal or household activity;|||False|6.(1)(a)|10|2|APPLICATION PROVISIONS||||
63|2|(b)|that has been de-identified to the extent that it cannot be re-identified again;|||False|6.(1)(b)|13|2|APPLICATION PROVISIONS||||
64|2|(c)|by or on behalf of a public body—|||False|6.(1)(c)|8|2|APPLICATION PROVISIONS||||
65|3|(i)|which involves national security, including activities that are aimed at assisting in the identification of the financing of terrorist and related activities, defence or public safety; or|||False|6.(1)(c)(i)|27|2|APPLICATION PROVISIONS||||
66|3|(ii)|the purpose of which is the prevention, detection, including assistance in the identification of the proceeds of unlawful activities and the combating of money laundering activities, investigation or proof of offences, the prosecution of offenders or the execution of sentences or security measures, to the extent that adequate safeguards have been established in legislation for the protection of such personal information;|||False|6.(1)(c)(ii)|61|2|APPLICATION PROVISIONS||||
67|2|(d)|by the Cabinet and its committees or the Executive Council of a province; or|||False|6.(1)(d)|14|2|APPLICATION PROVISIONS||||
68|2|(e)|relating to the judicial functions of a court referred to in section 166 of the Constitution.|||False|6.(1)(e)|16|2|APPLICATION PROVISIONS||||
69|1|(2)|"""Terrorist and related activities"", for purposes of subsection (1)(c), means those activities referred to in section 4 of the Protection of Constitutional Democracy against Terrorist and Related Activities Act, 2004 (Act No. 33 of 2004)."|||False|6.(2)|35|2|APPLICATION PROVISIONS||||
70|0|7.|Exclusion for journalistic, literary or artistic purposes|||True|7.|7|2|APPLICATION PROVISIONS||||
71|1|(1)|This Act does not apply to the processing of personal information solely for the purpose of journalistic, literary or artistic expression to the extent that such an exclusion is necessary to reconcile, as a matter of public interest, the right to privacy with the right to freedom of expression.|||False|7.(1)|49|2|APPLICATION PROVISIONS||||
72|1|(2)|Where a responsible party who processes personal information for exclusively journalistic purposes is, by virtue of office, employment or profession, subject to a code of ethics that provides adequate safeguards for the protection of personal information, such code will apply to the processing concerned to the exclusion of this Act and any alleged interference with the protection of the personal information of a data subject that may arise as a result of such processing must be adjudicated as provided for in terms of that code.|||False|7.(2)|85|2|APPLICATION PROVISIONS||||
73|1|(3)|In the event that a dispute may arise in respect of whether adequate safeguards have been provided for in a code as required in terms of subsection (2) or not, regard may be had to—|||False|7.(3)|35|2|APPLICATION PROVISIONS||||
74|2|(a)|the special importance of the public interest in freedom of expression;|||False|7.(3)(a)|11|2|APPLICATION PROVISIONS||||
75|2|(b)|domestic and international standards balancing the—|||False|7.(3)(b)|6|2|APPLICATION PROVISIONS||||
76|3|(i)|public interest in allowing for the free flow of information to the public through the media in recognition of the right of the public to be informed; and|||False|7.(3)(b)(i)|28|2|APPLICATION PROVISIONS||||
77|3|(ii)|public interest in safeguarding the protection of personal information of data subjects;|||False|7.(3)(b)(ii)|12|2|APPLICATION PROVISIONS||||
78|2|(c)|the need to secure the integrity of personal information;|||False|7.(3)(c)|9|2|APPLICATION PROVISIONS||||
79|2|(d)|domestic and international standards of professional integrity for journalists; and|||False|7.(3)(d)|10|2|APPLICATION PROVISIONS||||
80|2|(e)|the nature and ambit of self-regulatory forms of supervision provided by the profession.|||False|7.(3)(e)|13|2|APPLICATION PROVISIONS||||
84|0|8.|Responsible party to ensure conditions for lawful processing|||True|8.|8|3|CONDITIONS FOR LAWFUL PROCESSING OF PERSONAL INFORMATION|A|Processing of personal information in general|1|Accountability
85|0||The responsible party must ensure that the conditions set out in this Chapter, and all the measures that give effect to such conditions, are complied with at the time of thedetermination of the purpose and means of the processing and during the processing itself.|||False|8.|44|3|CONDITIONS FOR LAWFUL PROCESSING OF PERSONAL INFORMATION|A|Processing of personal information in general|1|Accountability
87|0|9.|Lawfulness of processing|||True|9.|3|3|CONDITIONS FOR LAWFUL PROCESSING OF PERSONAL INFORMATION|A|Processing of personal information in general|2|Processing limitation
88|0||Personal information must be processed—|||False|9.|5|3|CONDITIONS FOR LAWFUL PROCESSING OF PERSONAL INFORMATION|A|Processing of personal information in general|2|Processing limitation
89|2|(a)|lawfully; and|||False|9.(a)|2|3|CONDITIONS FOR LAWFUL PROCESSING OF PERSONAL INFORMATION|A|Processing of personal information in general|2|Processing limitation
90|2|(b)|in a reasonable manner that does not infringe the privacy of the data subject.|||False|9.(b)|14|3|CONDITIONS FOR LAWFUL PROCESSING OF PERSONAL INFORMATION|A|Processing of personal information in general|2|Processing limitation
91|0|10.|Minimality|||True|10.|1|3|CONDITIONS FOR LAWFUL PROCESSING OF PERSONAL INFORMATION|A|Processing of personal information in general|2|Processing limitation
92|0||Personal information may only be processed if, given the purpose for which it is processed, it is adequate, relevant and not excessive.|||False|10.|22|3|CONDITIONS FOR LAWFUL PROCESSING OF PERSONAL INFORMATION|A|Processing of personal information in general|2|Processing limitation
93|0|11.|Consent, justification and objection|||True|11.|4|3|CONDITIONS FOR LAWFUL PROCESSING OF PERSONAL INFORMATION|A|Processing of personal information in general|2|Processing limitation
94|1|(1)|Personal information may only be processed if—|||False|11.(1)|7|3|CONDITIONS FOR LAWFUL PROCESSING OF PERSONAL INFORMATION|A|Processing of personal information in general|2|Processing limitation
95|2|(a)|the data subject or a competent person where the data subject is a child consents to the processing;|||False|11.(1)(a)|18|3|CONDITIONS FOR LAWFUL PROCESSING OF PERSONAL INFORMATION|A|Processing of personal information in general|2|Processing limitation
96|2|(b)|processing is necessary to carry out actions for the conclusion or performance of a contract to which the data subject is party;|||False|11.(1)(b)|22|3|CONDITIONS FOR LAWFUL PROCESSING OF PERSONAL INFORMATION|A|Processing of personal information in general|2|Processing limitation
97|2|(c)|processing complies with an obligation imposed by law on the responsible party;|||False|11.(1)(c)|12|3|CONDITIONS FOR LAWFUL PROCESSING OF PERSONAL INFORMATION|A|Processing of personal information in general|2|Processing limitation
98|2|(d)|processing protects a legitimate interest of the data subject;|||False|11.(1)(d)|9|3|CONDITIONS FOR LAWFUL PROCESSING OF PERSONAL INFORMATION|A|Processing of personal information in general|2|Processing limitation
99|2|(e)|processing is necessary for the proper performance of a public law duty by a public body; or|||False|11.(1)(e)|17|3|CONDITIONS FOR LAWFUL PROCESSING OF PERSONAL INFORMATION|A|Processing of personal information in general|2|Processing limitation
100|2|(f)|processing is necessary for pursuing the legitimate interests of the responsible party or of a third party to whom the information is supplied.|||False|11.(1)(f)|23|3|CONDITIONS FOR LAWFUL PROCESSING OF PERSONAL INFORMATION|A|Processing of personal information in general|2|Processing limitation
101|1|(2)|(a) The responsible party bears the burden of proof for the data subject’s or competent person’s consent as referred to in subsection (1)(a).|||False|11.(2)|23|3|CONDITIONS FOR LAWFUL PROCESSING OF PERSONAL INFORMATION|A|Processing of personal information in general|2|Processing limitation
102|2|(b)|The data subject or competent person may withdraw his, her or its consent, as referred to in subsection (1)(a), at any time: Provided that the lawfulness of the processing of personal information before such withdrawal or the processing of personal information in terms of subsection (1)(b) to (f) will not be affected.|||False|11.(2)(b)|52|3|CONDITIONS FOR LAWFUL PROCESSING OF PERSONAL INFORMATION|A|Processing of personal information in general|2|Processing limitation
103|1|(3)|A data subject may object, at any time, to the processing of personal information—|||False|11.(3)|14|3|CONDITIONS FOR LAWFUL PROCESSING OF PERSONAL INFORMATION|A|Processing of personal information in general|2|Processing limitation
104|2|(a)|in terms of subsection (1)(d) to (f), in the prescribed manner, on reasonable grounds relating to his, her or its particular situation, unless legislation provides for such processing; or|||False|11.(3)(a)|29|3|CONDITIONS FOR LAWFUL PROCESSING OF PERSONAL INFORMATION|A|Processing of personal information in general|2|Processing limitation
105|2|(b)|for purposes of direct marketing other than direct marketing by means of unsolicited electronic communications as referred to in section 69.|||False|11.(3)(b)|21|3|CONDITIONS FOR LAWFUL PROCESSING OF PERSONAL INFORMATION|A|Processing of personal information in general|2|Processing limitation
106|1|(4)|If a data subject has objected to the processing of personal information in terms of subsection (3), the responsible party may no longer process the personal information.|||False|11.(4)|27|3|CONDITIONS FOR LAWFUL PROCESSING OF PERSONAL INFORMATION|A|Processing of personal information in general|2|Processing limitation
107|0|12.|Collection directly from data subject|||True|12.|5|3|CONDITIONS FOR LAWFUL PROCESSING OF PERSONAL INFORMATION|A|Processing of personal information in general|2|Processing limitation
108|1|(1)|Personal information must be collected directly from the data subject, except as otherwise provided for in subsection (2).|||False|12.(1)|18|3|CONDITIONS FOR LAWFUL PROCESSING OF PERSONAL INFORMATION|A|Processing of personal information in general|2|Processing limitation
109|1|(2)|It is not necessary to comply with subsection (1) if—|||False|12.(2)|10|3|CONDITIONS FOR LAWFUL PROCESSING OF PERSONAL INFORMATION|A|Processing of personal information in general|2|Processing limitation
110|2|(a)|the information is contained in or derived from a public record or has deliberately been made public by the data subject;|||False|12.(2)(a)|21|3|CONDITIONS FOR LAWFUL PROCESSING OF PERSONAL INFORMATION|A|Processing of personal information in general|2|Processing limitation
111|2|(b)|the data subject or a competent person where the data subject is a child has consented to the collection of the information from another source;|||False|12.(2)(b)|25|3|CONDITIONS FOR LAWFUL PROCESSING OF PERSONAL INFORMATION|A|Processing of personal information in general|2|Processing limitation
112|2|(c)|collection of the information from another source would not prejudice a legitimate interest of the data subject;|||False|12.(2)(c)|17|3|CONDITIONS FOR LAWFUL PROCESSING OF PERSONAL INFORMATION|A|Processing of personal information in general|2|Processing limitation
113|2|(d)|collection of the information from another source is necessary—|||False|12.(2)(d)|9|3|CONDITIONS FOR LAWFUL PROCESSING OF PERSONAL INFORMATION|A|Processing of personal information in general|2|Processing limitation
114|3|(i)|to avoid prejudice to the maintenance of the law by any public body, including the prevention, detection, investigation, prosecution and punishment of offences;|||False|12.(2)(d)(i)|23|3|CONDITIONS FOR LAWFUL PROCESSING OF PERSONAL INFORMATION|A|Processing of personal information in general|2|Processing limitation
115|3|(ii)|to comply with an obligation imposed by law or to enforce legislation concerning the collection of revenue as defined in section 1 of the South African Revenue Service Act, 1997 (Act No. 34 of 1997);|||False|12.(2)(d)(ii)|35|3|CONDITIONS FOR LAWFUL PROCESSING OF PERSONAL INFORMATION|A|Processing of personal information in general|2|Processing limitation
116|3|(iii)|for the conduct of proceedings in any court or tribunal that have commenced or are reasonably contemplated;|||False|12.(2)(d)(iii)|17|3|CONDITIONS FOR LAWFUL PROCESSING OF PERSONAL INFORMATION|A|Processing of personal information in general|2|Processing limitation
117|3|(iv)|in the interests of national security; or|||False|12.(2)(d)(iv)|7|3|CONDITIONS FOR LAWFUL PROCESSING OF PERSONAL INFORMATION|A|Processing of personal information in general|2|Processing limitation
118|3|(v)|to maintain the legitimate interests of the responsible party or of a third party to whom the information is supplied;|||False|12.(2)(d)(v)|20|3|CONDITIONS FOR LAWFUL PROCESSING OF PERSONAL INFORMATION|A|Processing of personal information in general|2|Processing limitation
119|2|(e)|compliance would prejudice a lawful purpose of the collection; or|||False|12.(2)(e)|10|3|CONDITIONS FOR LAWFUL PROCESSING OF PERSONAL INFORMATION|A|Processing of personal information in general|2|Processing limitation
120|2|(f)|compliance is not reasonably practicable in the circumstances of the particular case.|||False|12.(2)(f)|12|3|CONDITIONS FOR LAWFUL PROCESSING OF PERSONAL INFORMATION|A|Processing of personal information in general|2|Processing limitation
122|0|13.|Collection for specific purpose|||True|13.|4|3|CONDITIONS FOR LAWFUL PROCESSING OF PERSONAL INFORMATION|A|Processing of personal information in general|3|Purpose specification
123|1|(1)|Personal information must be collected for a specific, explicitly defined and lawful purpose related to a function or activity of the responsible party.|||False|13.(1)|23|3|CONDITIONS FOR LAWFUL PROCESSING OF PERSONAL INFORMATION|A|Processing of personal information in general|3|Purpose specification
124|1|(2)|Steps must be taken in accordance with section 18(1) to ensure that the data subject is aware of the purpose of the collection of the information unless the provisions of section 18(4) are applicable.|||False|13.(2)|34|3|CONDITIONS FOR LAWFUL PROCESSING OF PERSONAL INFORMATION|A|Processing of personal information in general|3|Purpose specification
125|0|14.|Retention and restriction of records|||True|14.|5|3|CONDITIONS FOR LAWFUL PROCESSING OF PERSONAL INFORMATION|A|Processing of personal information in general|3|Purpose specification
126|1|(1)|Subject to subsections (2) and (3), records of personal information must not be retained any longer than is necessary for achieving the purpose for which the information was collected or subsequently processed, unless—|||False|14.(1)|33|3|CONDITIONS FOR LAWFUL PROCESSING OF PERSONAL INFORMATION|A|Processing of personal information in general|3|Purpose specification
127|2|(a)|retention of the record is required or authorised by law;|||False|14.(1)(a)|10|3|CONDITIONS FOR LAWFUL PROCESSING OF PERSONAL INFORMATION|A|Processing of personal information in general|3|Purpose specification
128|2|(b)|the responsible party reasonably requires the record for lawful purposes related to its functions or activities;|||False|14.(1)(b)|16|3|CONDITIONS FOR LAWFUL PROCESSING OF PERSONAL INFORMATION|A|Processing of personal information in general|3|Purpose specification
129|2|(c)|retention of the record is required by a contract between the parties thereto; or|||False|14.(1)(c)|14|3|CONDITIONS FOR LAWFUL PROCESSING OF PERSONAL INFORMATION|A|Processing of personal information in general|3|Purpose specification
130|2|(d)|the data subject or a competent person where the data subject is a child has consented to the retention of the record.|||False|14.(1)(d)|22|3|CONDITIONS FOR LAWFUL PROCESSING OF PERSONAL INFORMATION|A|Processing of personal information in general|3|Purpose specification
131|1|(2)|Records of personal information may be retained for periods in excess of those contemplated in subsection (1) for historical, statistical or research purposes if the responsible party has established appropriate safeguards against the records being used for any other purposes.|||False|14.(2)|40|3|CONDITIONS FOR LAWFUL PROCESSING OF PERSONAL INFORMATION|A|Processing of personal information in general|3|Purpose specification
132|1|(3)|responsible party that has used a record of personal information of a data subject to make a decision about the data subject, must—|||False|14.(3)|23|3|CONDITIONS FOR LAWFUL PROCESSING OF PERSONAL INFORMATION|A|Processing of personal information in general|3|Purpose specification
133|2|(a)|retain the record for such period as may be required or prescribed by law or a code of conduct; or|||False|14.(3)(a)|20|3|CONDITIONS FOR LAWFUL PROCESSING OF PERSONAL INFORMATION|A|Processing of personal information in general|3|Purpose specification
134|2|(b)|if there is no law or code of conduct prescribing a retention period, retain the record for a period which will afford the data subject a reasonable opportunity, taking all considerations relating to the use of the personal information into account, to request access to the record.|||False|14.(3)(b)|47|3|CONDITIONS FOR LAWFUL PROCESSING OF PERSONAL INFORMATION|A|Processing of personal information in general|3|Purpose specification
135|1|(4)|A responsible party must destroy or delete a record of personal information or de-identify it as soon as reasonably practicable after the responsible party is no longer authorised to retain the record in terms of subsection (1) or (2).|||False|14.(4)|39|3|CONDITIONS FOR LAWFUL PROCESSING OF PERSONAL INFORMATION|A|Processing of personal information in general|3|Purpose specification
136|1|(5)|The destruction or deletion of a record of personal information in terms of subsection (4) must be done in a manner that prevents its reconstruction in an intelligible form.|||False|14.(5)|29|3|CONDITIONS FOR LAWFUL PROCESSING OF PERSONAL INFORMATION|A|Processing of personal information in general|3|Purpose specification
137|1|(6)|The responsible party must restrict processing of personal information if—|||False|14.(6)|10|3|CONDITIONS FOR LAWFUL PROCESSING OF PERSONAL INFORMATION|A|Processing of personal information in general|3|Purpose specification
138|2|(a)|its accuracy is contested by the data subject, for a period enabling the responsible party to verify the accuracy of the information;|||False|14.(6)(a)|22|3|CONDITIONS FOR LAWFUL PROCESSING OF PERSONAL INFORMATION|A|Processing of personal information in general|3|Purpose specification
139|2|(b)|the responsible party no longer needs the personal information for achieving the purpose for which the information was collected or subsequently processed, but it has to be maintained for purposes of proof;|||False|14.(6)(b)|32|3|CONDITIONS FOR LAWFUL PROCESSING OF PERSONAL INFORMATION|A|Processing of personal information in general|3|Purpose specification
140|2|(c)|the processing is unlawful and the data subject opposes its destruction or deletion and requests the restriction of its use instead; or|||False|14.(6)(c)|22|3|CONDITIONS FOR LAWFUL PROCESSING OF PERSONAL INFORMATION|A|Processing of personal information in general|3|Purpose specification
141|2|(d)|the data subject requests to transmit the personal data into another automated processing system.|||False|14.(6)(d)|14|3|CONDITIONS FOR LAWFUL PROCESSING OF PERSONAL INFORMATION|A|Processing of personal information in general|3|Purpose specification
142|1|(7)|Personal information referred to in subsection (6) may, with the exception of storage, only be processed for purposes of proof, or with the data subject’s consent, or with the consent of a competent person in respect of a child, or for the protection of the rights of another natural or legal person or if such processing is in the public interest.|||False|14.(7)|61|3|CONDITIONS FOR LAWFUL PROCESSING OF PERSONAL INFORMATION|A|Processing of personal information in general|3|Purpose specification
143|1|(8)|Where processing of personal information is restricted pursuant to subsection (6), the responsible party must inform the data subject before lifting the restriction on processing.|||False|14.(8)|25|3|CONDITIONS FOR LAWFUL PROCESSING OF PERSONAL INFORMATION|A|Processing of personal information in general|3|Purpose specification
145|0|15.|Further processing to be compatible with purpose of collection|||True|15.|9|3|CONDITIONS FOR LAWFUL PROCESSING OF PERSONAL INFORMATION|A|Processing of personal information in general|4|Further processing limitation
146|1|(1)|Further processing of personal information must be in accordance or compatible with the purpose for which it was collected in terms of section 13.|||False|15.(1)|24|3|CONDITIONS FOR LAWFUL PROCESSING OF PERSONAL INFORMATION|A|Processing of personal information in general|4|Further processing limitation
147|1|(2)|To assess whether further processing is compatible with the purpose of collection, the responsible party must take account of—|||False|15.(2)|19|3|CONDITIONS FOR LAWFUL PROCESSING OF PERSONAL INFORMATION|A|Processing of personal information in general|4|Further processing limitation
148|2|(a)|the relationship between the purpose of the intended further processing and the purpose for which the information has been collected;|||False|15.(2)(a)|20|3|CONDITIONS FOR LAWFUL PROCESSING OF PERSONAL INFORMATION|A|Processing of personal information in general|4|Further processing limitation
149|2|(b)|the nature of the information concerned;|||False|15.(2)(b)|6|3|CONDITIONS FOR LAWFUL PROCESSING OF PERSONAL INFORMATION|A|Processing of personal information in general|4|Further processing limitation
150|2|(c)|the consequences of the intended further processing for the data subject;|||False|15.(2)(c)|11|3|CONDITIONS FOR LAWFUL PROCESSING OF PERSONAL INFORMATION|A|Processing of personal information in general|4|Further processing limitation
151|2|(d)|the manner in which the information has been collected; and|||False|15.(2)(d)|10|3|CONDITIONS FOR LAWFUL PROCESSING OF PERSONAL INFORMATION|A|Processing of personal information in general|4|Further processing limitation
152|2|(e)|any contractual rights and obligations between the parties.|||False|15.(2)(e)|8|3|CONDITIONS FOR LAWFUL PROCESSING OF PERSONAL INFORMATION|A|Processing of personal information in general|4|Further processing limitation
153|1|(3)|The further processing of personal information is not incompatible with the purpose of collection if—|||False|15.(3)|15|3|CONDITIONS FOR LAWFUL PROCESSING OF PERSONAL INFORMATION|A|Processing of personal information in general|4|Further processing limitation
154|2|(a)|the data subject or a competent person where the data subject is a child has consented to the further processing of the information;|||False|15.(3)(a)|23|3|CONDITIONS FOR LAWFUL PROCESSING OF PERSONAL INFORMATION|A|Processing of personal information in general|4|Further processing limitation
155|2|(b)|the information is available in or derived from a public record or has deliberately been made public by the data subject;|||False|15.(3)(b)|21|3|CONDITIONS FOR LAWFUL PROCESSING OF PERSONAL INFORMATION|A|Processing of personal information in general|4|Further processing limitation
